Speed, Unit, Time
24,Mbps,Wed Nov  1 12:10:01 2017
25,Mbps,Wed Nov  1 12:11:01 2017
25,Mbps,Wed Nov  1 12:12:02 2017
25,Mbps,Wed Nov  1 12:13:16 2017
24,Mbps,Wed Nov  1 12:14:48 2017
24,Mbps,Wed Nov  1 12:15:50 2017
25,Mbps,Wed Nov  1 12:16:50 2017
25,Mbps,Wed Nov  1 12:17:51 2017
25,Mbps,Wed Nov  1 12:18:52 2017
25,Mbps,Wed Nov  1 12:19:52 2017
23,Mbps,Wed Nov  1 12:20:53 2017
25,Mbps,Wed Nov  1 12:21:53 2017
25,Mbps,Wed Nov  1 12:22:54 2017
25,Mbps,Wed Nov  1 12:23:54 2017
21,Mbps,Wed Nov  1 12:24:54 2017
22,Mbps,Wed Nov  1 12:25:55 2017
25,Mbps,Wed Nov  1 12:26:55 2017
22,Mbps,Wed Nov  1 12:27:56 2017
3.7,Mbps,Wed Nov  1 12:28:56 2017
25,Mbps,Wed Nov  1 12:29:56 2017
25,Mbps,Wed Nov  1 12:30:57 2017
25,Mbps,Wed Nov  1 12:31:57 2017
13,Mbps,Wed Nov  1 12:32:57 2017
16,Mbps,Wed Nov  1 12:33:58 2017
6.7,Mbps,Wed Nov  1 12:34:58 2017
25,Mbps,Wed Nov  1 12:35:58 2017
20,Mbps,Wed Nov  1 12:36:59 2017
19,Mbps,Wed Nov  1 12:37:59 2017
25,Mbps,Wed Nov  1 12:38:59 2017
24,Mbps,Wed Nov  1 12:40:00 2017
22,Mbps,Wed Nov  1 12:41:00 2017
15,Mbps,Wed Nov  1 12:42:00 2017
25,Mbps,Wed Nov  1 12:43:01 2017
25,Mbps,Wed Nov  1 12:44:01 2017
25,Mbps,Wed Nov  1 12:45:01 2017
4.9,Mbps,Wed Nov  1 12:46:02 2017
2.4,Mbps,Wed Nov  1 12:47:02 2017
13,Mbps,Wed Nov  1 12:48:03 2017
1.2,Mbps,Wed Nov  1 12:49:03 2017
22,Mbps,Wed Nov  1 12:50:03 2017
19,Mbps,Wed Nov  1 12:51:04 2017
25,Mbps,Wed Nov  1 12:52:04 2017
24,Mbps,Wed Nov  1 12:53:04 2017
14,Mbps,Wed Nov  1 12:54:05 2017
4.8,Mbps,Wed Nov  1 12:55:05 2017
23,Mbps,Wed Nov  1 12:56:05 2017
6.1,Mbps,Wed Nov  1 12:57:06 2017
25,Mbps,Wed Nov  1 12:58:06 2017
24,Mbps,Wed Nov  1 12:59:06 2017
17,Mbps,Wed Nov  1 13:00:07 2017
10,Mbps,Wed Nov  1 13:01:07 2017
19,Mbps,Wed Nov  1 13:02:07 2017
25,Mbps,Wed Nov  1 13:03:08 2017
23,Mbps,Wed Nov  1 13:04:08 2017
14,Mbps,Wed Nov  1 13:05:08 2017
7.6,Mbps,Wed Nov  1 13:06:09 2017
16,Mbps,Wed Nov  1 13:07:09 2017
4.6,Mbps,Wed Nov  1 13:08:09 2017
2.0,Mbps,Wed Nov  1 13:09:10 2017
16,Mbps,Wed Nov  1 13:10:10 2017
22,Mbps,Wed Nov  1 13:11:10 2017
25,Mbps,Wed Nov  1 13:12:11 2017
25,Mbps,Wed Nov  1 13:13:11 2017
25,Mbps,Wed Nov  1 13:14:11 2017
16,Mbps,Wed Nov  1 13:15:12 2017
21,Mbps,Wed Nov  1 13:16:12 2017
25,Mbps,Wed Nov  1 13:17:12 2017
24,Mbps,Wed Nov  1 13:18:13 2017
3.9,Mbps,Wed Nov  1 13:19:13 2017
22,Mbps,Wed Nov  1 13:20:13 2017
25,Mbps,Wed Nov  1 13:21:14 2017
8.6,Mbps,Wed Nov  1 13:22:14 2017
